Date;S&P;Apple;JP Morgan;BlackRock;Indice_Excel;Rendimiento diario del Indice_Excel
25/10/2018;272,02;54,95;104,86;391,96;219,162;
26/10/2018;267,1;54,075;103,42;386,93;215,725;-0,1070%
29/10/2018;265,61;53,06;104,85;390,65;215,956;-2,1562%
30/10/2018;269,86;53,325;106,7;403,83;220,715;-1,5259%
31/10/2018;272,76;54,715;109,02;411,42;224,135;-0,6815%
01/11/2018;275,42;55,555;108,98;412,99;225,673;0,9461%
02/11/2018;273,89;51,87;108,38;409,76;223,558;-0,3421%
05/11/2018;275,57;50,397;109,09;411;224,3254;-0,5908%
06/11/2018;277,16;50,943;109,6;413,43;225,6586;-2,3087%
07/11/2018;283,13;52,487;111,48;424,73;230,9914;0,3496%
08/11/2018;282,52;52,123;112,38;421,39;230,1866;1,2897%
09/11/2018;279,96;51,118;111,29;413,95;227,2556;2,1895%
12/11/2018;274,51;48,542;108,95;405,42;222,3864;-0,1118%
13/11/2018;274,11;48,057;109,59;407,31;222,6354;1,1584%
14/11/2018;272,21;46,7;107,33;401,98;220,086;-1,2822%
15/11/2018;274,96;47,853;110,07;406,88;222,9446;-0,5468%
16/11/2018;275,74;48,382;109,99;411;224,1704;1,2207%
19/11/2018;271,13;46,465;110,83;407,78;221,467;1,7944%
20/11/2018;266,1;44,245;108,45;402,92;217,563;-0,5085%
21/11/2018;266,96;44,195;107,64;407,62;218,675;0,5909%
23/11/2018;265,31;43,072;106,65;406,61;217,3904;-2,1068%
26/11/2018;269,47;43,655;109,26;418,49;222,069;-0,0662%
27/11/2018;270,32;43,56;109,72;417,16;222,216;-2,2543%
28/11/2018;276,63;45,235;110,94;427,27;227,341;0,5909%
29/11/2018;276,07;44,888;110,06;422,94;226,0056;-0,8613%
30/11/2018;278;44,645;111,19;428,01;227,969;-1,4022%
03/12/2018;281,37;46,205;112,24;434,87;231,211;4,6002%
04/12/2018;272,53;44,173;107,23;408,75;221,0426;1,1414%
06/12/2018;271,82;43,68;105,19;400,23;218,548;2,1526%
07/12/2018;265,6;42,123;103,29;393,1;213,9426;0,0648%
10/12/2018;266;42,4;101,36;393,26;213,804;0,8235%
11/12/2018;266,05;42,158;100,37;385,66;212,0576;-0,7542%
12/12/2018;267,49;42,275;101,02;390,07;213,669;0,2569%
13/12/2018;267,24;42,737;101,12;387,27;213,1214;1,6064%
14/12/2018;262,4;41,37;100,29;382,3;209,752;1,8664%
17/12/2018;255,65;40,985;99,01;378,25;205,909;-0,4932%
18/12/2018;255,62;41,518;98,54;383,35;206,9296;2,1187%
19/12/2018;251,74;40,222;97,29;372,19;202,6364;1,0970%
20/12/2018;247,43;39,208;96,45;371,67;200,4376;1,6715%
